Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
3588,Safety and Efficacy Study to Evaluate Proellex in the Treatment of Premenopausal Women With Symptomatic Endometriosis,Terminated,Has Results,Endometriosis,"Muscle, Bone, and Cartilage Diseases",Drug: Proellex 25 mg|Drug: Placebo|Drug: Proellex 50 mg,Industry,Interventional,2007-11-01,"Advanced Clinical Therapeutics, LLC, Tucson, Arizona, United States|Lynn Institute of the Ozarks, Little Rock, Arkansas, United States|Medical Center for Clinical Research, San Diego, California, United States|Compass Clinical Research, San Ramon, California, United States|Altus Research, Lake Worth, Florida, United States|Comprehensive Clinical Trials, West Palm Beach, Florida, United States|Medical Associates, Dubuque, Iowa, United States|Physicians for Women, Cary, North Carolina, United States|Wake Research Associates, Raleigh, North Carolina, United States|Rapid Medical Research, Inc., Cleveland, Ohio, United States|HWC Women's Research Center, Miamisburg, Ohio, United States|SC Clinical Research Center, LLC, Columbia, South Carolina, United States|Gaffney Pharmaceutical Research, Gaffney, South Carolina, United States|Greenville Pharma Research, Greenville, South Carolina, United States|Advanced Research Associates, Corpus Christi, Texas, United States|Clinical Trials of Texas/Institute for Women's Health, San Antonio, Texas, United States|Clinical Trials of Texas/Seven Oaks Women's Center, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT00556075
3590,Civamide Nasal Solution for Postherpetic Neuralgia of the Trigeminal Nerve,Terminated,Has Results,Postherpetic Neuralgia,"Muscle, Bone, and Cartilage Diseases",Drug: Civamide Nasal Spray|Drug: Placebo,Industry,Interventional,2014-03-01,"California Medical Clinic for Headache, Santa Monica, California, United States|Sun Rise Medical, Lauderdale Lakes, Florida, United States|Meridien Research, Tampa, Florida, United States|Michigan Head Pain and Neurological Institute, Ann Arbor, Michigan, United States|Furture Search Trials of Neurology, LP, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT01886313
3593,Study to Compare Exposure of TA Following Administration of Either FX006 or TAcs in Patients With Bilateral Knee OA,Completed,No Results Available,Bilateral Knee Osteoarthritis,Skin and Connective Tissue Diseases,Drug: FX006 32 mg|Drug: TAcs 40 mg,Industry,Interventional,2017-12-06,"LA Biomed at Harbor-UCLA Medical Center, Torrance, California, United States|Rochester Clinical Research, Rochester, New York, United States|Altoona Center for Clinical Research, Duncansville, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT03378076
3594,Synvisc to Treat Osteoarthritis of the Temporomandibular Joint,Completed,No Results Available,Osteoarthritis,Skin and Connective Tissue Diseases,Procedure: High molecular weight hylan (Synvisc) injection,NIH,Interventional,2004-02-01,"National Institute of Dental And Craniofacial Research (NIDCR), Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00078351
3596,A 12 Week Study to Assess Changes in Joint Inflammation Using Ultrasonography in Patients With Rheumatoid Arthritis (RA),Terminated,Has Results,Rheumatoid Arthritis,Skin and Connective Tissue Diseases,Biological: Certolizumab Pegol,Industry,Interventional,2011-02-01,"10, Los Angeles, California, United States|4, Walnut Creek, California, United States|8, Wheaton, Maryland, United States|1, Voorhees, New Jersey, United States|6, Rochester, New York, United States|7, Franklin, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT01292265
3597,A Non-Randomized Study of the NightHawk Peripheral Plaque Excision System During Plaque Excision of Peripheral Arterial Disease,Terminated,No Results Available,Peripheral Vascular Diseases,"Muscle, Bone, and Cartilage Diseases",Device: NightHawk,Industry,Interventional,2007-08-01,"Austin Heart, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT00516308
3598,Study to Characterize the PK and Local Extent and Duration of Exposure From FX006 in Patients With OA of the Knee,Completed,Has Results,Osteoarthritis of the Knee,Skin and Connective Tissue Diseases,Drug: FX006 32 mg|Drug: TCA IR 40,Industry,Interventional,2015-11-01,"Canoga Park, California, United States|San Diego, California, United States|Hialeah, Florida, United States|Duncansville, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT02637323
3599,Decompression Coring Versus Conservative Therapy in Patients With Avascular Necrosis of the Hip Related to Sickle Cell Disease,Completed,No Results Available,Bone Avascular Necrosis|Sickle Cell Anemia,"Muscle, Bone, and Cartilage Diseases",Procedure: Core decompression,Other,Interventional,1999-06-01,"Children's Hospital of Oakland, Oakland, California, United States|University of North Carolina School of Medicine, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT00006130
3600,A Safety and Efficacy Study of AGN-214868 in Patients With Postherpetic Neuralgia,Terminated,No Results Available,"Neuralgia, Postherpetic","Muscle, Bone, and Cartilage Diseases",Drug: AGN-214868|Drug: AGN-214868 Placebo (Vehicle),Industry,Interventional,2013-01-01,"Boulder, Colorado, United States|Vienna, Austria|Frankfurt, Germany|Katowice, Poland",https://ClinicalTrials.gov/show/NCT01678924
3601,A Study of the Safety and Efficacy of AGN-214868 in Patients With Postherpetic Neuralgia,Completed,Has Results,"Neuralgia, Postherpetic","Muscle, Bone, and Cartilage Diseases",Drug: AGN-214868|Drug: Placebo to AGN-214868,Industry,Interventional,2010-06-01,"Orlando, Florida, United States|Brno, Czech Republic|Kiel, Germany|Katowice, Poland",https://ClinicalTrials.gov/show/NCT01129531
3604,Efficacy of Acupuncture With Physical Therapy for Knee Osteo-Arthritis,Completed,No Results Available,Osteoarthritis,Skin and Connective Tissue Diseases,Procedure: Acupuncture,NIH,Interventional,2002-03-01,"Penn Therapy and Fitness, Philadelphia, Pennsylvania, United States|Veterans Administration Medical Center, Philadelphia, Pennsylvania, United States|Pennsylvania Hospital Sports Medicine/Rehabilitation Center, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00035399
3442,Cervical Spine Thrust Joint Manipulation for Temporomandibular Disorder,Recruiting,No Results Available,Temporomandibular Disorder,Mouth and Tooth Diseases,Other: Cervical Spine Thrust Joint Manipulation|Other: Cervical Spine Sham Manipulation|Other: Home Program|Other: Suboccipital Release,Other,Interventional,2017-10-18,"Rock Valley Physical Therapy, Peoria, Illinois, United States|Rock Valley Physical Therapy, Washington, Illinois, United States",https://ClinicalTrials.gov/show/NCT03300297
3606,"A Phase 2a Study Evaluating the Safety, Efficacy, and Pharmacodynamic Effects of ABT-981 in Patients With Knee Osteoarthritis",Completed,No Results Available,Knee Osteoarthritis|Medial Compartment Knee Osteoarthritis,Skin and Connective Tissue Diseases,Biological: ABT-981|Other: Placebo,Industry,Interventional,2014-05-01,"Site Reference ID/Investigator# 119799, Birmingham, Alabama, United States|Site Reference ID/Investigator# 139515, Phoenix, Arizona, United States|Site Reference ID/Investigator# 137079, Scottsdale, Arizona, United States|Site Reference ID/Investigator# 118936, Tucson, Arizona, United States|Site Reference ID/Investigator# 137304, El Cajon, California, United States|Site Reference ID/Investigator# 137101, La Mesa, California, United States|Site Reference ID/Investigator# 135819, Long Beach, California, United States|Site Reference ID/Investigator# 118859, Palo Alto, California, United States|Site Reference ID/Investigator# 119796, Sacramento, California, United States|Site Reference ID/Investigator# 137758, San Diego, California, United States|Site Reference ID/Investigator# 138735, Santa Ana, California, United States|Site Reference ID/Investigator# 138175, Santa Monica, California, United States|Site Reference ID/Investigator# 136738, Spring Valley, California, United States|Site Reference ID/Investigator# 137400, Clearwater, Florida, United States|Site Reference ID/Investigator# 126301, Clearwater, Florida, United States|Site Reference ID/Investigator# 137854, Edgewater, Florida, United States|Site Reference ID/Investigator# 119589, Jacksonville, Florida, United States|Site Reference ID/Investigator# 134233, Miami Lakes, Florida, United States|Site Reference ID/Investigator# 137078, Miami Lakes, Florida, United States|Site Reference ID/Investigator# 139141, Miami, Florida, United States|Site Reference ID/Investigator# 137399, New Port Richey, Florida, United States|Site Reference ID/Investigator# 136848, Orlando, Florida, United States|Site Reference ID/Investigator# 135220, Palm Harbor, Florida, United States|Site Reference ID/Investigator# 137100, Tampa, Florida, United States|Site Reference ID/Investigator# 121618, Honolulu, Hawaii, United States|Site Reference ID/Investigator# 119397, Chicago, Illinois, United States|Site Reference ID/Investigator# 119587, Chicago, Illinois, United States|Site Reference ID/Investigator# 137301, Wichita, Kansas, United States|Site Reference ID/Investigator# 136748, Wheaton, Maryland, United States|Site Reference ID/Investigator# 118963, Boston, Massachusetts, United States|Site Reference ID/Investigator# 137083, Las Vegas, Nevada, United States|Site Reference ID/Investigator# 134899, Las Vegas, Nevada, United States|Site Reference ID/Investigator# 137306, Clifton, New Jersey, United States|Site Reference ID/Investigator# 134898, Albuquerque, New Mexico, United States|Site Reference ID/Investigator# 137080, Great Neck, New York, United States|Site Reference ID/Investigator# 118937, New York, New York, United States|Site Reference ID/Investigator# 120575, Chapel Hill, North Carolina, United States|Site Reference ID/Investigator# 134234, Cincinnati, Ohio, United States|Site Reference ID/Investigator# 119590, Cincinnati, Ohio, United States|Site Reference ID/Investigator# 119396, Oklahoma City, Oklahoma, United States|Site Reference ID/Investigator# 129825, Tulsa, Oklahoma, United States|Site Reference ID/Investigator# 118860, Duncansville, Pennsylvania, United States|Site Reference ID/Investigator# 119798, Philadelphia, Pennsylvania, United States|Site Reference ID/Investigator# 125497, Pawtucket, Rhode Island, United States|Site Reference ID/Investigator# 119586, Dallas, Texas, United States|Site Reference ID/Investigator# 137081, Franklin, Virginia, United States|Site Reference ID/Investigator# 130478, Seattle, Washington, United States|Site Reference ID/Investigator# 128791, Maroochydore, Australia|Site Reference ID/Investigator# 121698, St Leonards, Australia|Site Reference ID/Investigator# 124601, Edmonton, Canada|Site Reference ID/Investigator# 137256, Kitchener, Canada|Site Reference ID/Investigator# 126635, Montreal, Canada|Site Reference ID/Investigator# 123257, Quebec City, Canada|Site Reference ID/Investigator# 123256, Quebec, Canada|Site Reference ID/Investigator# 135189, Victoria, Canada|Site Reference ID/Investigator# 119398, Aarhus C, Denmark|Site Reference ID/Investigator# 119399, Frederiksberg, Denmark|Site Reference ID/Investigator# 136654, Vejle, Denmark|Site Reference ID/Investigator# 128498, Montpellier, France|Site Reference ID/Investigator# 128497, Paris, France|Site Reference ID/Investigator# 128500, Vandoeuvre les Nancy, France|Site Reference ID/Investigator# 122735, Catania, Italy|Site Reference ID/Investigator# 122736, Pavia, Italy|Site Reference ID/Investigator# 122756, Rome, Italy|Site Reference ID/Investigator# 122755, Verona, Italy|Site Reference ID/Investigator# 120496, Chihuahua, Mexico|Site Reference ID/Investigator# 120498, Guadalajara, Jalisco, Mexico|Site Reference ID/Investigator# 120497, Leon, Mexico|Site Reference ID/Investigator# 120315, Mexico, D.F., Mexico|Site Reference ID/Investigator# 119803, Monterrey, Mexico|Site Reference ID/Investigator# 121775, Leiden, Netherlands|Site Reference ID/Investigator# 130409, Utrecht, Netherlands|Site Reference ID/Investigator# 123995, Carolina, Puerto Rico|Site Reference ID/Investigator# 119584, Ponce, Puerto Rico|Site Reference ID/Investigator# 120576, San Juan, Puerto Rico|Site Reference ID/Investigator# 120675, San Juan, Puerto Rico|Site Reference ID/Investigator# 123498, La Coruna, Spain|Site Reference ID/Investigator# 121337, Santander, Cantabria, Spain|Site Reference ID/Investigator# 121336, Santiago de Compostela, Spain|Site Reference ID/Investigator# 123497, Seville, Spain|Site Reference ID/Investigator# 128383, Cambridge, United Kingdom|Site Reference ID/Investigator# 127796, Dudley, United Kingdom",https://ClinicalTrials.gov/show/NCT02087904
3607,Dose-Finding Study of REN-1654 in Patients With Post-Herpetic Neuralgia,Unknown status,No Results Available,Neuralgia|Shingles|Peripheral Nervous System Disease,"Muscle, Bone, and Cartilage Diseases",Drug: REN-1654,Industry,Interventional,2003-08-01,"North Alabama Neuroscience Research Associates, Huntsville, Alabama, United States|Pivotal Research Centers, Peoria, Arizona, United States|HOPE Research Institute, Phoenix, Arizona, United States|Advanced Clinical Therapeutics, LLC, Tuscon, Arizona, United States|UCSD Center for Pain and Palliative Medicine, La Jolla, California, United States|Neurophysiologic Laboratory, Laguna Hills, California, United States|Colorado Neurology and Headache Center, Denver, Colorado, United States|Palm Beach Neurological Center, Palm Beach Gardens, Florida, United States|Suncoast Neuroscience Associates, Inc., St. Petersburg, Florida, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|University of Michigan Health Center, Dept. Anesthesiology, Ann Arbor, Michigan, United States|Washington University School of Medicine, St. Louis, Missouri, United States|A and A Pain Institute, St. Louis, Missouri, United States|The Center for Clinical Research, Winston-Salem, North Carolina, United States|Diagnostic Center of Houston, Houston, Texas, United States|University of Wisconsin at Madison, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT00099528
2024,CONDOR Temporomandibular Muscle and Joint Disorders (TMJD) Survey,Completed,No Results Available,Temporomandibular Disorders,Mouth and Tooth Diseases,,Other|NIH,Observational,2009-11-01,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT01201512
2403,Study of Orofacial Pain and PropRANOlol,Completed,No Results Available,Temporomandibular Disorders,Mouth and Tooth Diseases,Drug: Propranolol ER|Drug: Placebo,Other|Industry|NIH,Interventional,2015-08-20,"University of Florida-Gainesville College of Dentistry, Gainesville, Florida, United States|University at Buffalo School of Dental Medicine, Buffalo, New York, United States|University of North Carolina at Chapel Hill School of Dentistry, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02437383
